Date,Open,High,Low,Close,Volume,Symbol
2023-05-15,0.11678700149059296,0.13155999779701233,0.1152930036187172,0.12552200257778168,64657703,GRT6719-USD
2023-05-16,0.12554499506950378,0.12567399442195892,0.12080900371074677,0.12324099987745285,36215757,GRT6719-USD
2023-05-17,0.12325000017881393,0.12585200369358063,0.1197270005941391,0.12419600039720535,29740024,GRT6719-USD
2023-05-18,0.12419000267982483,0.12457499653100967,0.11837399750947952,0.12091899663209915,23997959,GRT6719-USD
2023-05-19,0.12090899795293808,0.12692199647426605,0.11955299973487854,0.12380900233983994,31399561,GRT6719-USD
2023-05-20,0.12382499873638153,0.12387599796056747,0.1203330010175705,0.12111499905586243,19611778,GRT6719-USD
2023-05-21,0.12112399935722351,0.1215130016207695,0.11711599677801132,0.11781000345945358,17175104,GRT6719-USD
2023-05-22,0.11782199889421463,0.12018900364637375,0.11610600352287292,0.1185159981250763,15523206,GRT6719-USD
2023-05-23,0.11850500106811523,0.12253399938344955,0.11789499968290329,0.12164700031280518,20147512,GRT6719-USD
2023-05-24,0.12164899706840515,0.12166900187730789,0.11340600252151489,0.11631599813699722,26945833,GRT6719-USD
2023-05-25,0.11631099879741669,0.11722300201654434,0.1137709990143776,0.11588999629020691,23976227,GRT6719-USD
2023-05-26,0.11589299887418747,0.11706700176000595,0.11463700234889984,0.11604200303554535,26580523,GRT6719-USD
2023-05-27,0.11599700152873993,0.11964599788188934,0.11565200239419937,0.11873500049114227,26250285,GRT6719-USD
2023-05-28,0.11873800307512283,0.1268630027770996,0.11808999627828598,0.12396100163459778,30639276,GRT6719-USD
2023-05-29,0.12397799640893936,0.12903499603271484,0.12294399738311768,0.12643100321292877,54775706,GRT6719-USD
2023-05-30,0.12643000483512878,0.1322609931230545,0.12518499791622162,0.13182500004768372,46305779,GRT6719-USD
2023-05-31,0.13182500004768372,0.13661399483680725,0.12902499735355377,0.13335900008678436,96635822,GRT6719-USD
2023-06-01,0.13337300717830658,0.1454019993543625,0.1270270049571991,0.12790599465370178,215869185,GRT6719-USD
2023-06-02,0.127921000123024,0.13267900049686432,0.124269999563694,0.1298999935388565,55999212,GRT6719-USD
2023-06-03,0.1299089938402176,0.13052299618721008,0.1276320070028305,0.128493994474411,30771862,GRT6719-USD
2023-06-04,0.12849999964237213,0.12917299568653107,0.12531599402427673,0.12574100494384766,31332266,GRT6719-USD
2023-06-05,0.12576599419116974,0.12576599419116974,0.11094799637794495,0.11471500247716904,66782118,GRT6719-USD
2023-06-06,0.11470799893140793,0.12047500163316727,0.1129549965262413,0.11938600242137909,41186204,GRT6719-USD
2023-06-07,0.11939100176095963,0.11939100176095963,0.11223000288009644,0.11289799958467484,37009074,GRT6719-USD
2023-06-08,0.11288700252771378,0.11474599689245224,0.11054400354623795,0.11342500150203705,25220814,GRT6719-USD
2023-06-09,0.1134210005402565,0.11360400170087814,0.10890699923038483,0.11091099679470062,25807489,GRT6719-USD
2023-06-10,0.11092499643564224,0.1110209971666336,0.09070900082588196,0.10288400202989578,87585409,GRT6719-USD
2023-06-11,0.1028830036520958,0.10297399759292603,0.09871699661016464,0.0993959978222847,31412958,GRT6719-USD
2023-06-12,0.09940200299024582,0.10025700181722641,0.09629499912261963,0.09913399815559387,33195087,GRT6719-USD
2023-06-13,0.09914100170135498,0.10159900039434433,0.09740500152111053,0.09833300113677979,28256544,GRT6719-USD
2023-06-14,0.09833300113677979,0.10204999893903732,0.09458299726247787,0.09686499834060669,34632287,GRT6719-USD
2023-06-15,0.09686599671840668,0.09917999804019928,0.09414300322532654,0.0973839983344078,34904657,GRT6719-USD
2023-06-16,0.09739000350236893,0.09989400207996368,0.095490001142025,0.09844599664211273,25559869,GRT6719-USD
2023-06-17,0.09844300150871277,0.10274499654769897,0.09776200354099274,0.10202600061893463,28926383,GRT6719-USD
2023-06-18,0.10202000290155411,0.10332000255584717,0.09901600331068039,0.09930700063705444,25537728,GRT6719-USD
2023-06-19,0.09930899739265442,0.10065799951553345,0.09856300055980682,0.10016199946403503,23427596,GRT6719-USD
2023-06-20,0.10017800331115723,0.10402800142765045,0.096841000020504,0.10395999997854233,28385078,GRT6719-USD
2023-06-21,0.10396099835634232,0.10952699929475784,0.10378800332546234,0.1089169979095459,41640521,GRT6719-USD
2023-06-22,0.10892199724912643,0.11386500298976898,0.10718899965286255,0.10743699967861176,47659282,GRT6719-USD
2023-06-23,0.10743600130081177,0.11435999721288681,0.10737700015306473,0.11234000325202942,37527357,GRT6719-USD
2023-06-24,0.1123420000076294,0.11316200345754623,0.10742300003767014,0.11021299660205841,31086687,GRT6719-USD
2023-06-25,0.11022000014781952,0.11580699682235718,0.11022000014781952,0.1139179989695549,34484832,GRT6719-USD
